plant_genotype	strain	nodule	nodule_raw	nodabove	nodabove_raw	nodred	nodred_raw	weight	weight_raw
R108	1397	29.8932486711025	50	28.8520903768006	48	31.9692896653082	50	0.664830206105183	0.9389
R108	1416	2.08628758341787	5	2.53810290934849	5	4.58946928475981	5	-0.0313599350814315	0.021
R108	1433	2.89324867110254	23	3.85209037680056	23	4.96928966530817	23	0.228480206105183	0.50255
R108	1456	-10.9678572619905	4	-9.6661958213067	4	-7.78277211248095	4	-0.0870830034433346	0.019
R108	1462	-8.16089617430582	24	-6.35220835385464	24	-6.40295173193259	23	-0.201181328075769	0.09975
R108	1464	39.8391038256942	72	34.6477916461454	65	42.5970482680674	72	0.25635713774328	0.58415
R108	1501	-4.19680436706413	13	-4.0882892689445	13	-0.42085481120727	13	-0.000243571928960138	0.2242
R108	1508	16.8391038256942	49	16.1477916461454	46.5	16.0970482680674	45.5	0.13630713774328	0.4641
R108	1519	10.1432486711025	30.25	11.1020903768006	30.25	12.2192896653082	30.25	0.391555206105183	0.665625
R108	1520	-3.60675132889746	16.5	-5.89790962319944	13.25	-1.53071033469183	16.5	0.00913020610518286	0.2832
R108	1530	-10.9678572619905	4	-9.6661958213067	4	-7.78277211248095	4	-0.0620830034433346	0.044
R108	1533	3.33910382569417	35.5	0.647791646145364	31	5.09704826806741	34.5	-0.17429286225672	0.1535
R108	1562	-21.6608961743058	10.5	-19.8522083538546	10.5	-29.4029517319326	0	-0.28809286225672	0.0397
R108	1566	-5.60675132889746	14.5	-7.14790962319944	12	-6.03071033469183	12	NA	NA
R108	1581	6.80319563293587	24	6.9117107310555	24	10.5791451887927	24	0.24215642807104	0.4666
R108	1584	4.39324867110254	24.5	5.35209037680056	24.5	6.46928966530817	24.5	0.0175302061051829	0.2916
R108	1589	-17.1608961743058	15	-15.3522083538546	15	-14.9029517319326	14.5	-0.26054286225672	0.06725
R108	1590	-8.96785726199037	6	-7.66619582130665	6	-7.78277211248076	4	NA	NA
R108	1591	6.89324867110254	27	7.85209037680056	27	7.96928966530817	26	0.167730206105183	0.4418
R108	1594	1.89324867110254	22	-1.64790962319944	17.5	-1.03071033469183	17	-0.112119793894817	0.16195
R108	1603	13.3391038256942	45.5	6.14779164614536	36.5	16.0970482680674	45.5	0.12485713774328	0.45265
R108	1606	1.39324867110254	21.5	1.35209037680056	20.5	1.96928966530817	20	-0.140569793894817	0.1335
R108	1607	-10.1968043670641	7	-10.0882892689445	7	-13.4208548112073	0	-0.16224357192896	0.0622
R108	1608	-2.91371241658213	0	-2.46189709065151	0	-0.410530715240186	0	-0.0133599350814315	0.039
R108	1613	-11.6067513288975	8.5	-10.6479096231994	8.5	-18.0307103346918	0	-0.236119793894817	0.03795
R108	1614	-16.2509492124725	13	-15.2925879995997	13	-24.793096208448	0	-0.239266640290863	0.0389
R108	1617	0.962695704556024	18.5	2.09294727774693	18.5	1.59325877641361	16.5	-0.0860263986690759	0.10405
R108	1618	-32.1608961743058	0	-30.3522083538546	0	-29.4029517319326	0	-0.206266640290863	0.0719
R108	1623	-7.60675132889746	12.5	-8.14790962319944	11	-18.0307103346918	0	-0.0603697938948172	0.2137
R108	1624	-18.4108961743058	13.75	-16.6022083538546	13.75	-15.6529517319326	13.75	-0.20156786225672	0.126225
R108	1626	-6.1067513288976	14	-5.14790962319956	14	-18.030710334692	0	-0.248769793894818	0.0253
R108	1629	-0.106751328897462	20	0.852090376800559	20	1.96928966530817	20	-0.185669793894817	0.0884
R108	1630	-2.24227777636064	16.75	-0.686862899380539	16.75	-5.21166898532866	12	-0.0491013986690759	0.140975
